,img1,img2,speed
8865,data/frames/train/train_thumb_8866.jpg,data/frames/train/train_thumb_8867.jpg,9.633435
7331,data/frames/train/train_thumb_7332.jpg,data/frames/train/train_thumb_7333.jpg,18.981128
8214,data/frames/train/train_thumb_8215.jpg,data/frames/train/train_thumb_8216.jpg,25.893383
3967,data/frames/train/train_thumb_3968.jpg,data/frames/train/train_thumb_3969.jpg,21.558288
12539,data/frames/train/train_thumb_12540.jpg,data/frames/train/train_thumb_12541.jpg,10.597225
1745,data/frames/train/train_thumb_1746.jpg,data/frames/train/train_thumb_1747.jpg,19.249295
7525,data/frames/train/train_thumb_7526.jpg,data/frames/train/train_thumb_7527.jpg,23.482539
1838,data/frames/train/train_thumb_1839.jpg,data/frames/train/train_thumb_1840.jpg,21.562465
5467,data/frames/train/train_thumb_5468.jpg,data/frames/train/train_thumb_5469.jpg,23.60656
1819,data/frames/train/train_thumb_1820.jpg,data/frames/train/train_thumb_1821.jpg,20.327859
7776,data/frames/train/train_thumb_7777.jpg,data/frames/train/train_thumb_7778.jpg,24.581017
18688,data/frames/train/train_thumb_18689.jpg,data/frames/train/train_thumb_18690.jpg,0.0
15050,data/frames/train/train_thumb_15051.jpg,data/frames/train/train_thumb_15052.jpg,14.231296
5411,data/frames/train/train_thumb_5412.jpg,data/frames/train/train_thumb_5413.jpg,24.36995
17888,data/frames/train/train_thumb_17889.jpg,data/frames/train/train_thumb_17890.jpg,1.248358
583,data/frames/train/train_thumb_584.jpg,data/frames/train/train_thumb_585.jpg,17.345175
13710,data/frames/train/train_thumb_13711.jpg,data/frames/train/train_thumb_13712.jpg,8.603773
465,data/frames/train/train_thumb_466.jpg,data/frames/train/train_thumb_467.jpg,15.963043
18955,data/frames/train/train_thumb_18956.jpg,data/frames/train/train_thumb_18957.jpg,4.866336
3304,data/frames/train/train_thumb_3305.jpg,data/frames/train/train_thumb_3306.jpg,21.908528
7827,data/frames/train/train_thumb_7828.jpg,data/frames/train/train_thumb_7829.jpg,24.418135
14201,data/frames/train/train_thumb_14202.jpg,data/frames/train/train_thumb_14203.jpg,4.137957
12636,data/frames/train/train_thumb_12637.jpg,data/frames/train/train_thumb_12638.jpg,10.424776
7224,data/frames/train/train_thumb_7225.jpg,data/frames/train/train_thumb_7226.jpg,21.274619
11336,data/frames/train/train_thumb_11337.jpg,data/frames/train/train_thumb_11338.jpg,5.127456
5346,data/frames/train/train_thumb_5347.jpg,data/frames/train/train_thumb_5348.jpg,24.28602
13662,data/frames/train/train_thumb_13663.jpg,data/frames/train/train_thumb_13664.jpg,5.813193
3550,data/frames/train/train_thumb_3551.jpg,data/frames/train/train_thumb_3552.jpg,22.193338
6696,data/frames/train/train_thumb_6697.jpg,data/frames/train/train_thumb_6698.jpg,18.321335
4176,data/frames/train/train_thumb_4177.jpg,data/frames/train/train_thumb_4178.jpg,21.773389
7600,data/frames/train/train_thumb_7601.jpg,data/frames/train/train_thumb_7602.jpg,24.747403
10776,data/frames/train/train_thumb_10777.jpg,data/frames/train/train_thumb_10778.jpg,7.515792
16036,data/frames/train/train_thumb_16037.jpg,data/frames/train/train_thumb_16038.jpg,2.118105
1520,data/frames/train/train_thumb_1521.jpg,data/frames/train/train_thumb_1522.jpg,16.301598
1270,data/frames/train/train_thumb_1271.jpg,data/frames/train/train_thumb_1272.jpg,15.094839
17330,data/frames/train/train_thumb_17331.jpg,data/frames/train/train_thumb_17332.jpg,11.974359
15903,data/frames/train/train_thumb_15904.jpg,data/frames/train/train_thumb_15905.jpg,1.930045
8220,data/frames/train/train_thumb_8221.jpg,data/frames/train/train_thumb_8222.jpg,25.91315
11120,data/frames/train/train_thumb_11121.jpg,data/frames/train/train_thumb_11122.jpg,3.465916
8163,data/frames/train/train_thumb_8164.jpg,data/frames/train/train_thumb_8165.jpg,25.984833
2647,data/frames/train/train_thumb_2648.jpg,data/frames/train/train_thumb_2649.jpg,25.184078
2429,data/frames/train/train_thumb_2430.jpg,data/frames/train/train_thumb_2431.jpg,24.336083
14108,data/frames/train/train_thumb_14109.jpg,data/frames/train/train_thumb_14110.jpg,2.738112
9469,data/frames/train/train_thumb_9470.jpg,data/frames/train/train_thumb_9471.jpg,5.513601
12016,data/frames/train/train_thumb_12017.jpg,data/frames/train/train_thumb_12018.jpg,5.988909
11944,data/frames/train/train_thumb_11945.jpg,data/frames/train/train_thumb_11946.jpg,7.425346
8118,data/frames/train/train_thumb_8119.jpg,data/frames/train/train_thumb_8120.jpg,25.190684
11934,data/frames/train/train_thumb_11935.jpg,data/frames/train/train_thumb_11936.jpg,7.669993
4422,data/frames/train/train_thumb_4423.jpg,data/frames/train/train_thumb_4424.jpg,21.816518
7779,data/frames/train/train_thumb_7780.jpg,data/frames/train/train_thumb_7781.jpg,24.554941
4843,data/frames/train/train_thumb_4844.jpg,data/frames/train/train_thumb_4845.jpg,22.494062
12521,data/frames/train/train_thumb_12522.jpg,data/frames/train/train_thumb_12523.jpg,9.690851
17212,data/frames/train/train_thumb_17213.jpg,data/frames/train/train_thumb_17214.jpg,4.516585
15611,data/frames/train/train_thumb_15612.jpg,data/frames/train/train_thumb_15613.jpg,0.510241
11332,data/frames/train/train_thumb_11333.jpg,data/frames/train/train_thumb_11334.jpg,5.118607
14540,data/frames/train/train_thumb_14541.jpg,data/frames/train/train_thumb_14542.jpg,0.0
2793,data/frames/train/train_thumb_2794.jpg,data/frames/train/train_thumb_2795.jpg,25.76199
17012,data/frames/train/train_thumb_17013.jpg,data/frames/train/train_thumb_17014.jpg,2.150884
15355,data/frames/train/train_thumb_15356.jpg,data/frames/train/train_thumb_15357.jpg,10.028481
14261,data/frames/train/train_thumb_14262.jpg,data/frames/train/train_thumb_14263.jpg,3.411336
17134,data/frames/train/train_thumb_17135.jpg,data/frames/train/train_thumb_17136.jpg,1.225301
11389,data/frames/train/train_thumb_11390.jpg,data/frames/train/train_thumb_11391.jpg,2.80498
10350,data/frames/train/train_thumb_10351.jpg,data/frames/train/train_thumb_10352.jpg,5.926301
14527,data/frames/train/train_thumb_14528.jpg,data/frames/train/train_thumb_14529.jpg,0.0
6940,data/frames/train/train_thumb_6941.jpg,data/frames/train/train_thumb_6942.jpg,14.114313
6377,data/frames/train/train_thumb_6378.jpg,data/frames/train/train_thumb_6379.jpg,13.86022
12672,data/frames/train/train_thumb_12673.jpg,data/frames/train/train_thumb_12674.jpg,10.613519
14344,data/frames/train/train_thumb_14345.jpg,data/frames/train/train_thumb_14346.jpg,5.05158
4891,data/frames/train/train_thumb_4892.jpg,data/frames/train/train_thumb_4893.jpg,22.500498
17554,data/frames/train/train_thumb_17555.jpg,data/frames/train/train_thumb_17556.jpg,14.547289
18970,data/frames/train/train_thumb_18971.jpg,data/frames/train/train_thumb_18972.jpg,5.392378
7847,data/frames/train/train_thumb_7848.jpg,data/frames/train/train_thumb_7849.jpg,24.386483
11333,data/frames/train/train_thumb_11334.jpg,data/frames/train/train_thumb_11335.jpg,5.080353
7633,data/frames/train/train_thumb_7634.jpg,data/frames/train/train_thumb_7635.jpg,24.171177
3564,data/frames/train/train_thumb_3565.jpg,data/frames/train/train_thumb_3566.jpg,22.043445
16876,data/frames/train/train_thumb_16877.jpg,data/frames/train/train_thumb_16878.jpg,2.370378
13161,data/frames/train/train_thumb_13162.jpg,data/frames/train/train_thumb_13163.jpg,7.029631
8583,data/frames/train/train_thumb_8584.jpg,data/frames/train/train_thumb_8585.jpg,13.244626
15965,data/frames/train/train_thumb_15966.jpg,data/frames/train/train_thumb_15967.jpg,0.0
287,data/frames/train/train_thumb_288.jpg,data/frames/train/train_thumb_289.jpg,20.160613
14179,data/frames/train/train_thumb_14180.jpg,data/frames/train/train_thumb_14181.jpg,4.715715
13382,data/frames/train/train_thumb_13383.jpg,data/frames/train/train_thumb_13384.jpg,1.620639
1783,data/frames/train/train_thumb_1784.jpg,data/frames/train/train_thumb_1785.jpg,19.306446
2427,data/frames/train/train_thumb_2428.jpg,data/frames/train/train_thumb_2429.jpg,24.3205
10239,data/frames/train/train_thumb_10240.jpg,data/frames/train/train_thumb_10241.jpg,7.84912
4201,data/frames/train/train_thumb_4202.jpg,data/frames/train/train_thumb_4203.jpg,21.984116
7059,data/frames/train/train_thumb_7060.jpg,data/frames/train/train_thumb_7061.jpg,18.019633
18328,data/frames/train/train_thumb_18329.jpg,data/frames/train/train_thumb_18330.jpg,11.642445
13478,data/frames/train/train_thumb_13479.jpg,data/frames/train/train_thumb_13480.jpg,0.0
12174,data/frames/train/train_thumb_12175.jpg,data/frames/train/train_thumb_12176.jpg,8.105389
9401,data/frames/train/train_thumb_9402.jpg,data/frames/train/train_thumb_9403.jpg,0.681981
14098,data/frames/train/train_thumb_14099.jpg,data/frames/train/train_thumb_14100.jpg,2.811233
6480,data/frames/train/train_thumb_6481.jpg,data/frames/train/train_thumb_6482.jpg,14.158641
12898,data/frames/train/train_thumb_12899.jpg,data/frames/train/train_thumb_12900.jpg,3.430777
3351,data/frames/train/train_thumb_3352.jpg,data/frames/train/train_thumb_3353.jpg,22.298093
4155,data/frames/train/train_thumb_4156.jpg,data/frames/train/train_thumb_4157.jpg,21.573039
18230,data/frames/train/train_thumb_18231.jpg,data/frames/train/train_thumb_18232.jpg,6.580803
11645,data/frames/train/train_thumb_11646.jpg,data/frames/train/train_thumb_11647.jpg,7.462519
15758,data/frames/train/train_thumb_15759.jpg,data/frames/train/train_thumb_15760.jpg,0.948791
17259,data/frames/train/train_thumb_17260.jpg,data/frames/train/train_thumb_17261.jpg,7.762011
17384,data/frames/train/train_thumb_17385.jpg,data/frames/train/train_thumb_17386.jpg,14.853575
3622,data/frames/train/train_thumb_3623.jpg,data/frames/train/train_thumb_3624.jpg,21.715792
3192,data/frames/train/train_thumb_3193.jpg,data/frames/train/train_thumb_3194.jpg,21.720144
18479,data/frames/train/train_thumb_18480.jpg,data/frames/train/train_thumb_18481.jpg,7.562588
4316,data/frames/train/train_thumb_4317.jpg,data/frames/train/train_thumb_4318.jpg,22.038546
15192,data/frames/train/train_thumb_15193.jpg,data/frames/train/train_thumb_15194.jpg,12.411816
10534,data/frames/train/train_thumb_10535.jpg,data/frames/train/train_thumb_10536.jpg,6.141131
16692,data/frames/train/train_thumb_16693.jpg,data/frames/train/train_thumb_16694.jpg,2.504009
7611,data/frames/train/train_thumb_7612.jpg,data/frames/train/train_thumb_7613.jpg,24.695389
17151,data/frames/train/train_thumb_17152.jpg,data/frames/train/train_thumb_17153.jpg,1.159079
16059,data/frames/train/train_thumb_16060.jpg,data/frames/train/train_thumb_16061.jpg,2.098626
779,data/frames/train/train_thumb_780.jpg,data/frames/train/train_thumb_781.jpg,22.119714
4239,data/frames/train/train_thumb_4240.jpg,data/frames/train/train_thumb_4241.jpg,22.081676
16503,data/frames/train/train_thumb_16504.jpg,data/frames/train/train_thumb_16505.jpg,1.765975
13655,data/frames/train/train_thumb_13656.jpg,data/frames/train/train_thumb_13657.jpg,5.285629
7239,data/frames/train/train_thumb_7240.jpg,data/frames/train/train_thumb_7241.jpg,21.338511
10430,data/frames/train/train_thumb_10431.jpg,data/frames/train/train_thumb_10432.jpg,8.234026
17029,data/frames/train/train_thumb_17030.jpg,data/frames/train/train_thumb_17031.jpg,1.695851
5440,data/frames/train/train_thumb_5441.jpg,data/frames/train/train_thumb_5442.jpg,24.247698
5650,data/frames/train/train_thumb_5651.jpg,data/frames/train/train_thumb_5652.jpg,24.337051
14926,data/frames/train/train_thumb_14927.jpg,data/frames/train/train_thumb_14928.jpg,14.183627
10566,data/frames/train/train_thumb_10567.jpg,data/frames/train/train_thumb_10568.jpg,4.253158
10555,data/frames/train/train_thumb_10556.jpg,data/frames/train/train_thumb_10557.jpg,4.936435
12999,data/frames/train/train_thumb_13000.jpg,data/frames/train/train_thumb_13001.jpg,6.335297
10903,data/frames/train/train_thumb_10904.jpg,data/frames/train/train_thumb_10905.jpg,3.844487
17337,data/frames/train/train_thumb_17338.jpg,data/frames/train/train_thumb_17339.jpg,12.372987
4577,data/frames/train/train_thumb_4578.jpg,data/frames/train/train_thumb_4579.jpg,21.871095
1970,data/frames/train/train_thumb_1971.jpg,data/frames/train/train_thumb_1972.jpg,24.025899
11469,data/frames/train/train_thumb_11470.jpg,data/frames/train/train_thumb_11471.jpg,2.79144
15622,data/frames/train/train_thumb_15623.jpg,data/frames/train/train_thumb_15624.jpg,0.476216
3648,data/frames/train/train_thumb_3649.jpg,data/frames/train/train_thumb_3650.jpg,21.824664
7078,data/frames/train/train_thumb_7079.jpg,data/frames/train/train_thumb_7080.jpg,18.417985
3813,data/frames/train/train_thumb_3814.jpg,data/frames/train/train_thumb_3815.jpg,21.504548
13436,data/frames/train/train_thumb_13437.jpg,data/frames/train/train_thumb_13438.jpg,0.438462
9695,data/frames/train/train_thumb_9696.jpg,data/frames/train/train_thumb_9697.jpg,8.665818
16175,data/frames/train/train_thumb_16176.jpg,data/frames/train/train_thumb_16177.jpg,7.49053
12217,data/frames/train/train_thumb_12218.jpg,data/frames/train/train_thumb_12219.jpg,5.366376
18131,data/frames/train/train_thumb_18132.jpg,data/frames/train/train_thumb_18133.jpg,2.228026
2940,data/frames/train/train_thumb_2941.jpg,data/frames/train/train_thumb_2942.jpg,23.062824
12669,data/frames/train/train_thumb_12670.jpg,data/frames/train/train_thumb_12671.jpg,10.630504
16715,data/frames/train/train_thumb_16716.jpg,data/frames/train/train_thumb_16717.jpg,2.136044
7085,data/frames/train/train_thumb_7086.jpg,data/frames/train/train_thumb_7087.jpg,18.522704
10648,data/frames/train/train_thumb_10649.jpg,data/frames/train/train_thumb_10650.jpg,0.56018
12004,data/frames/train/train_thumb_12005.jpg,data/frames/train/train_thumb_12006.jpg,6.180256
17847,data/frames/train/train_thumb_17848.jpg,data/frames/train/train_thumb_17849.jpg,1.652548
2320,data/frames/train/train_thumb_2321.jpg,data/frames/train/train_thumb_2322.jpg,24.476496
1635,data/frames/train/train_thumb_1636.jpg,data/frames/train/train_thumb_1637.jpg,17.900915
9453,data/frames/train/train_thumb_9454.jpg,data/frames/train/train_thumb_9455.jpg,4.711804
18722,data/frames/train/train_thumb_18723.jpg,data/frames/train/train_thumb_18724.jpg,0.0
11899,data/frames/train/train_thumb_11900.jpg,data/frames/train/train_thumb_11901.jpg,7.058816
17392,data/frames/train/train_thumb_17393.jpg,data/frames/train/train_thumb_17394.jpg,14.701098
7359,data/frames/train/train_thumb_7360.jpg,data/frames/train/train_thumb_7361.jpg,18.525781
4023,data/frames/train/train_thumb_4024.jpg,data/frames/train/train_thumb_4025.jpg,21.654233
4498,data/frames/train/train_thumb_4499.jpg,data/frames/train/train_thumb_4500.jpg,21.940543
2846,data/frames/train/train_thumb_2847.jpg,data/frames/train/train_thumb_2848.jpg,25.437534
10109,data/frames/train/train_thumb_10110.jpg,data/frames/train/train_thumb_10111.jpg,4.324001
16911,data/frames/train/train_thumb_16912.jpg,data/frames/train/train_thumb_16913.jpg,1.95499
12184,data/frames/train/train_thumb_12185.jpg,data/frames/train/train_thumb_12186.jpg,7.644467
2584,data/frames/train/train_thumb_2585.jpg,data/frames/train/train_thumb_2586.jpg,25.282594
4765,data/frames/train/train_thumb_4766.jpg,data/frames/train/train_thumb_4767.jpg,22.148388
10064,data/frames/train/train_thumb_10065.jpg,data/frames/train/train_thumb_10066.jpg,7.269602
11824,data/frames/train/train_thumb_11825.jpg,data/frames/train/train_thumb_11826.jpg,8.408101
2411,data/frames/train/train_thumb_2412.jpg,data/frames/train/train_thumb_2413.jpg,24.218245
5244,data/frames/train/train_thumb_5245.jpg,data/frames/train/train_thumb_5246.jpg,23.050584
14375,data/frames/train/train_thumb_14376.jpg,data/frames/train/train_thumb_14377.jpg,5.698524
7717,data/frames/train/train_thumb_7718.jpg,data/frames/train/train_thumb_7719.jpg,24.500435
13701,data/frames/train/train_thumb_13702.jpg,data/frames/train/train_thumb_13703.jpg,8.220595
12991,data/frames/train/train_thumb_12992.jpg,data/frames/train/train_thumb_12993.jpg,6.103615
3607,data/frames/train/train_thumb_3608.jpg,data/frames/train/train_thumb_3609.jpg,21.686784
3280,data/frames/train/train_thumb_3281.jpg,data/frames/train/train_thumb_3282.jpg,21.710324
12361,data/frames/train/train_thumb_12362.jpg,data/frames/train/train_thumb_12363.jpg,8.404978
14650,data/frames/train/train_thumb_14651.jpg,data/frames/train/train_thumb_14652.jpg,0.0
10381,data/frames/train/train_thumb_10382.jpg,data/frames/train/train_thumb_10383.jpg,5.545908
5350,data/frames/train/train_thumb_5351.jpg,data/frames/train/train_thumb_5352.jpg,24.299322
16157,data/frames/train/train_thumb_16158.jpg,data/frames/train/train_thumb_16159.jpg,4.164614
14696,data/frames/train/train_thumb_14697.jpg,data/frames/train/train_thumb_14698.jpg,0.755625
10285,data/frames/train/train_thumb_10286.jpg,data/frames/train/train_thumb_10287.jpg,7.691004
10264,data/frames/train/train_thumb_10265.jpg,data/frames/train/train_thumb_10266.jpg,7.927418
14763,data/frames/train/train_thumb_14764.jpg,data/frames/train/train_thumb_14765.jpg,4.276809
3255,data/frames/train/train_thumb_3256.jpg,data/frames/train/train_thumb_3257.jpg,21.535313
11146,data/frames/train/train_thumb_11147.jpg,data/frames/train/train_thumb_11148.jpg,6.684952
8562,data/frames/train/train_thumb_8563.jpg,data/frames/train/train_thumb_8564.jpg,13.334193
905,data/frames/train/train_thumb_906.jpg,data/frames/train/train_thumb_907.jpg,19.78414
6494,data/frames/train/train_thumb_6495.jpg,data/frames/train/train_thumb_6496.jpg,14.369783
17670,data/frames/train/train_thumb_17671.jpg,data/frames/train/train_thumb_17672.jpg,13.218513
7515,data/frames/train/train_thumb_7516.jpg,data/frames/train/train_thumb_7517.jpg,23.198021
6077,data/frames/train/train_thumb_6078.jpg,data/frames/train/train_thumb_6079.jpg,11.432633
14935,data/frames/train/train_thumb_14936.jpg,data/frames/train/train_thumb_14937.jpg,14.277684
4449,data/frames/train/train_thumb_4450.jpg,data/frames/train/train_thumb_4451.jpg,21.78631
15491,data/frames/train/train_thumb_15492.jpg,data/frames/train/train_thumb_15493.jpg,1.113808
14825,data/frames/train/train_thumb_14826.jpg,data/frames/train/train_thumb_14827.jpg,7.976186
8399,data/frames/train/train_thumb_8400.jpg,data/frames/train/train_thumb_8401.jpg,22.649504
16537,data/frames/train/train_thumb_16538.jpg,data/frames/train/train_thumb_16539.jpg,3.917906
11494,data/frames/train/train_thumb_11495.jpg,data/frames/train/train_thumb_11496.jpg,4.972221
9724,data/frames/train/train_thumb_9725.jpg,data/frames/train/train_thumb_9726.jpg,7.551963
551,data/frames/train/train_thumb_552.jpg,data/frames/train/train_thumb_553.jpg,17.015042
19146,data/frames/train/train_thumb_19147.jpg,data/frames/train/train_thumb_19148.jpg,10.040663
15597,data/frames/train/train_thumb_15598.jpg,data/frames/train/train_thumb_15599.jpg,0.733563
8745,data/frames/train/train_thumb_8746.jpg,data/frames/train/train_thumb_8747.jpg,12.334157
12324,data/frames/train/train_thumb_12325.jpg,data/frames/train/train_thumb_12326.jpg,7.381592
8464,data/frames/train/train_thumb_8465.jpg,data/frames/train/train_thumb_8466.jpg,18.881007
13112,data/frames/train/train_thumb_13113.jpg,data/frames/train/train_thumb_13114.jpg,4.803843
14204,data/frames/train/train_thumb_14205.jpg,data/frames/train/train_thumb_14206.jpg,4.04482
13795,data/frames/train/train_thumb_13796.jpg,data/frames/train/train_thumb_13797.jpg,10.643858
18460,data/frames/train/train_thumb_18461.jpg,data/frames/train/train_thumb_18462.jpg,9.282693
5536,data/frames/train/train_thumb_5537.jpg,data/frames/train/train_thumb_5538.jpg,22.112484
1995,data/frames/train/train_thumb_1996.jpg,data/frames/train/train_thumb_1997.jpg,23.49255
6911,data/frames/train/train_thumb_6912.jpg,data/frames/train/train_thumb_6913.jpg,12.777421
15299,data/frames/train/train_thumb_15300.jpg,data/frames/train/train_thumb_15301.jpg,11.964179
15124,data/frames/train/train_thumb_15125.jpg,data/frames/train/train_thumb_15126.jpg,12.115319
15479,data/frames/train/train_thumb_15480.jpg,data/frames/train/train_thumb_15481.jpg,1.194767
13371,data/frames/train/train_thumb_13372.jpg,data/frames/train/train_thumb_13373.jpg,1.719789
18304,data/frames/train/train_thumb_18305.jpg,data/frames/train/train_thumb_18306.jpg,12.077888
5210,data/frames/train/train_thumb_5211.jpg,data/frames/train/train_thumb_5212.jpg,22.874023
6849,data/frames/train/train_thumb_6850.jpg,data/frames/train/train_thumb_6851.jpg,11.875705
4773,data/frames/train/train_thumb_4774.jpg,data/frames/train/train_thumb_4775.jpg,22.270223
14390,data/frames/train/train_thumb_14391.jpg,data/frames/train/train_thumb_14392.jpg,4.982791
8300,data/frames/train/train_thumb_8301.jpg,data/frames/train/train_thumb_8302.jpg,25.064015
8477,data/frames/train/train_thumb_8478.jpg,data/frames/train/train_thumb_8479.jpg,18.009201
7039,data/frames/train/train_thumb_7040.jpg,data/frames/train/train_thumb_7041.jpg,17.573021
4512,data/frames/train/train_thumb_4513.jpg,data/frames/train/train_thumb_4514.jpg,22.020551
13470,data/frames/train/train_thumb_13471.jpg,data/frames/train/train_thumb_13472.jpg,0.0
5109,data/frames/train/train_thumb_5110.jpg,data/frames/train/train_thumb_5111.jpg,22.42566
6647,data/frames/train/train_thumb_6648.jpg,data/frames/train/train_thumb_6649.jpg,18.698455
14440,data/frames/train/train_thumb_14441.jpg,data/frames/train/train_thumb_14442.jpg,2.263006
983,data/frames/train/train_thumb_984.jpg,data/frames/train/train_thumb_985.jpg,19.255579
8789,data/frames/train/train_thumb_8790.jpg,data/frames/train/train_thumb_8791.jpg,11.47295
5511,data/frames/train/train_thumb_5512.jpg,data/frames/train/train_thumb_5513.jpg,22.416668
14874,data/frames/train/train_thumb_14875.jpg,data/frames/train/train_thumb_14876.jpg,13.734244
17912,data/frames/train/train_thumb_17913.jpg,data/frames/train/train_thumb_17914.jpg,1.730485
3504,data/frames/train/train_thumb_3505.jpg,data/frames/train/train_thumb_3506.jpg,22.441662
3554,data/frames/train/train_thumb_3555.jpg,data/frames/train/train_thumb_3556.jpg,22.133892
10098,data/frames/train/train_thumb_10099.jpg,data/frames/train/train_thumb_10100.jpg,4.794203
4041,data/frames/train/train_thumb_4042.jpg,data/frames/train/train_thumb_4043.jpg,21.577559
9318,data/frames/train/train_thumb_9319.jpg,data/frames/train/train_thumb_9320.jpg,1.714143
18444,data/frames/train/train_thumb_18445.jpg,data/frames/train/train_thumb_18446.jpg,10.16633
13586,data/frames/train/train_thumb_13587.jpg,data/frames/train/train_thumb_13588.jpg,0.808349
16583,data/frames/train/train_thumb_16584.jpg,data/frames/train/train_thumb_16585.jpg,2.830298
13654,data/frames/train/train_thumb_13655.jpg,data/frames/train/train_thumb_13656.jpg,5.316299
18097,data/frames/train/train_thumb_18098.jpg,data/frames/train/train_thumb_18099.jpg,2.344314
3275,data/frames/train/train_thumb_3276.jpg,data/frames/train/train_thumb_3277.jpg,21.681432
9174,data/frames/train/train_thumb_9175.jpg,data/frames/train/train_thumb_9176.jpg,11.767011
15288,data/frames/train/train_thumb_15289.jpg,data/frames/train/train_thumb_15290.jpg,12.173684
8648,data/frames/train/train_thumb_8649.jpg,data/frames/train/train_thumb_8650.jpg,11.325873
16671,data/frames/train/train_thumb_16672.jpg,data/frames/train/train_thumb_16673.jpg,1.612832
4383,data/frames/train/train_thumb_4384.jpg,data/frames/train/train_thumb_4385.jpg,21.882063
4071,data/frames/train/train_thumb_4072.jpg,data/frames/train/train_thumb_4073.jpg,21.362277
2894,data/frames/train/train_thumb_2895.jpg,data/frames/train/train_thumb_2896.jpg,24.928953
13179,data/frames/train/train_thumb_13180.jpg,data/frames/train/train_thumb_13181.jpg,6.862891
